X,Y
23.7890063,38.0330795
23.7875286,38.0331478
23.7867802,38.0325836
23.7862584,38.032129
23.7860838,38.0322367
23.7855892,38.0317197
23.7855067,38.0316304
23.7849196,38.0309994
23.7848795,38.0309518
23.7844074,38.0304056
23.7844329,38.0303655
23.7845847,38.0301887
23.7846706,38.0299386
23.7846877,38.0296749
23.7848079,38.0286337
23.7848766,38.0280455
23.7849973,38.0277321
23.7851337,38.027474
23.7853807,38.0271426
23.7856662,38.0268556
23.7860636,38.026597
23.7857566,38.0262715
23.7855827,38.0260762
23.7852225,38.0257047
23.7851968,38.0256573
23.7851453,38.0251908
23.7851195,38.025015
23.7851195,38.0248257
23.7850595,38.0241969
23.7850423,38.0240279
23.7850337,38.0238656
23.7849472,38.0228769
23.784944,38.0227473
23.7849662,38.0226446
23.7850118,38.0225981
23.7850386,38.0225094
23.7850815,38.0224417
23.7850896,38.0223636
23.78506,38.0223023
23.7850037,38.0222537
23.784942,38.0222283
23.7848983,38.0221948
23.7847901,38.022158
23.7847309,38.0221404
23.7847548,38.0220777
23.7847793,38.0219857
23.7848178,38.0219655
23.78484,38.0219397
23.7848389,38.021914
23.7848086,38.0218882
23.7848132,38.0218445
23.7848163,38.0218081
23.784844,38.0217619
23.7848656,38.0217328
23.7848748,38.0216903
23.784884,38.0216454
23.7849231,38.0215596
23.7848607,38.0215559
23.7848422,38.0212956
23.7847828,38.0204504
23.7847406,38.0198499
23.7846772,38.0192393
23.7838206,38.0188268
23.7843973,38.0180986
23.7845518,38.018031
23.7845432,38.0177132
23.7845432,38.0174427
23.7846241,38.0155023
23.7846281,38.0154055
23.7845981,38.0153161
23.7846828,38.0152657
23.7847638,38.0152174
23.7837104,38.0140407
23.7821455,38.0123298
23.7807679,38.0108099
23.7801605,38.0101426
23.7800415,38.0100062
23.7788638,38.0087257
23.7778053,38.0075524
23.7769738,38.0066392
23.776249,38.0057927
23.7755733,38.0048839
23.7752818,38.0044937
23.7742994,38.0031301
23.7738629,38.0026096
23.7733186,38.0020335
23.772402,38.0010178
23.7718837,38.000441
23.7713919,37.9999913
23.7711533,37.999805
23.770802,37.9995401
23.7701475,37.9990339
23.7699384,37.9988463
23.769686,37.9985963
23.7695417,37.9984309
23.7693666,37.9982287
23.7692831,37.9981334
23.7693495,37.998002
23.7691984,37.9980114
23.7690651,37.9979765
23.7689445,37.9978899
23.7688798,37.9977563
23.7687577,37.9974974
23.7681992,37.9963976
23.7681314,37.9962192
23.7681139,37.9959746
23.7680404,37.9958015
23.7677334,37.9951079
23.7675974,37.9951574
23.7672459,37.9953786
23.7671874,37.9954154
23.7659285,37.994479
23.7653461,37.9940562
23.7648225,37.9936605
23.7645202,37.9934223
23.7644074,37.9933266
23.7642667,37.993325
23.7637761,37.993298
23.7634898,37.993251
23.7633847,37.9932357
23.7629816,37.9931525
23.7628635,37.9931192
23.7620302,37.9928581
23.7613096,37.9925302
23.7608044,37.9922435
23.7606296,37.992136
23.7601985,37.9918556
23.7599826,37.9916847
23.759745,37.99147
23.7594543,37.9911888
23.7592128,37.9909023
23.7589402,37.9905492
23.7588405,37.9903869
23.7587064,37.9901728
23.7585932,37.9899351
23.7584788,37.9896852
23.7583684,37.9893664
23.7582945,37.9891344
23.758216,37.9888999
23.7581924,37.9888139
23.7579127,37.9888561
23.7578943,37.9887974
23.7575917,37.9885784
23.757344,37.9883859
23.7572456,37.9884039
23.757136,37.9880794
23.7570765,37.9878899
23.7569297,37.9874568
23.7565117,37.9875415
23.7564896,37.9874547
23.7562082,37.9875082
23.7557977,37.987587
23.7557467,37.9875967
23.7556295,37.9876192
23.755604,37.9875899
23.7555679,37.9875687
23.755525,37.987558
23.7554762,37.9875435
23.7554252,37.9875519
23.7553421,37.9875688
23.75533,37.9875297
23.7552286,37.9875485
23.7533937,37.9878708
23.7528238,37.9879772
23.7518927,37.9881531
23.7517745,37.988174
23.7516873,37.9881894
23.7516142,37.9882021
23.7504999,37.988404
23.7503569,37.987931
23.7502333,37.9875392
23.7501924,37.9874095
23.7499767,37.9874489
23.7497884,37.9874841
23.7497633,37.9874342
23.7494777,37.9873093
23.7489947,37.987066
23.748261,37.9867093
23.7479277,37.986544
23.7477606,37.9864611
23.7475174,37.9863448
23.7468254,37.9859932
23.746118,37.9856366
23.7460535,37.9855982
23.7451356,37.9851284
23.7444674,37.9847839
23.7441265,37.9846049
23.7431078,37.9840807
23.7425516,37.9837909
23.7421115,37.9835621
23.7419762,37.9834917
23.7412948,37.9828613
23.7410438,37.9825894
23.7409183,37.9824277
23.7407157,37.9821128
23.7406558,37.9820249
23.740545,37.9818342
23.7404867,37.9816546
23.7404816,37.9815956
23.7404662,37.9814351
23.7404826,37.981284
23.740524,37.9811722
23.7405853,37.9810548
23.7409383,37.9805538
23.7405331,37.9803431
23.7401095,37.9801106
23.7397101,37.9798984
23.7393161,37.9796802
23.739596,37.9793144
23.7391722,37.9790903
23.7386784,37.9788308
23.7382408,37.9786009
23.7377407,37.9783407
23.7371931,37.9780504
23.7366817,37.9777736
23.7361199,37.9774804
23.7357359,37.97728
23.7357832,37.9772258
23.7356739,37.977153
23.7356006,37.9771041
23.735569,37.977083
23.7354812,37.9771829
23.7348319,37.9768597
23.7348068,37.9768472
23.734435,37.9766622
23.7344602,37.9766098
23.7344673,37.9765445
23.7344157,37.9763324
23.7343947,37.9762898
23.734351,37.9761805
23.7342585,37.9761266
23.7342048,37.976078
23.7341564,37.9760117
23.7341089,37.975934
23.7340438,37.9757955
23.7340236,37.9757564
23.733998,37.9756885
