X,Y
23.7414609,37.984285
23.7418522,37.9838526
23.7416297,37.9837347
23.7409603,37.9831022
23.7407137,37.9828808
23.7406831,37.9828234
23.7406858,37.9824959
23.7406711,37.9823902
23.740608,37.9821682
23.7405861,37.9820967
23.7406079,37.9820424
23.7406558,37.9820249
23.740545,37.9818342
23.7404867,37.9816546
23.7404816,37.9815956
23.7404662,37.9814351
23.7404826,37.981284
23.740524,37.9811722
23.7405853,37.9810548
23.7409383,37.9805538
23.7405331,37.9803431
23.7401095,37.9801106
23.7397101,37.9798984
23.7393161,37.9796802
23.739596,37.9793144
23.7391722,37.9790903
23.7386784,37.9788308
23.7382408,37.9786009
23.7377407,37.9783407
23.7371931,37.9780504
23.7366817,37.9777736
23.7361199,37.9774804
23.7357359,37.97728
23.7357832,37.9772258
23.7356739,37.977153
23.7356006,37.9771041
23.735569,37.977083
23.7354812,37.9771829
23.7348319,37.9768597
23.7348068,37.9768472
23.734435,37.9766622
23.7344602,37.9766098
23.7344673,37.9765445
23.7344157,37.9763324
23.7343947,37.9762898
23.734351,37.9761805
23.7342585,37.9761266
23.7342048,37.976078
23.7341564,37.9760117
23.7341089,37.975934
23.7340438,37.9757955
23.7340236,37.9757564
23.733998,37.9756885
