Χ,Υ
23.7670127,38.018535
23.7672874,38.0181564
23.7675277,38.0176492
23.7676564,38.017203
23.7676822,38.016831
23.7676479,38.0166688
23.7678142,38.0165177
23.7673448,38.0160973
23.7668217,38.0154759
23.7669258,38.0154085
23.7669703,38.0153386
23.7669805,38.0152523
23.766958,38.0151855
23.7669025,38.0151204
23.7668183,38.0150733
23.7666924,38.0150526
23.7665757,38.015075
23.7663835,38.0147854
23.7662633,38.0145352
23.7662376,38.014285
23.7662548,38.0141024
23.7663406,38.0139469
23.7670565,38.0136728
23.7670441,38.0136098
23.7670489,38.0135669
23.7670715,38.0134988
23.7671131,38.0134532
23.7670598,38.0133718
23.7678528,38.0130798
23.7679941,38.0129933
23.7681413,38.012668
23.7682043,38.0125233
23.7687456,38.0123136
23.7686612,38.012289
23.7687246,38.0122179
23.7689499,38.011753
23.7692771,38.011269
23.7693817,38.0110387
23.7694836,38.0108147
23.7695266,38.0105357
23.7694822,38.010448
23.7694369,38.0103587
23.7694219,38.0103138
23.7694327,38.0100116
23.7694407,38.0098426
23.769379,38.0097517
23.7692664,38.0097306
23.7692723,38.0095371
23.7692892,38.0093263
23.7691472,38.0092605
23.7690271,38.0091523
23.7688658,38.0089455
23.7687185,38.0087468
23.768485,38.0084319
23.7684588,38.0083867
23.7682065,38.0079512
23.7674347,38.0066555
23.7671141,38.0060543
23.7670224,38.0060737
23.7669722,38.0060755
23.7667056,38.0060258
23.766644,38.0060113
23.7664863,38.0055406
23.7663167,38.0050157
23.7660955,38.0044136
23.7660349,38.0042046
23.7658816,38.0035266
23.7654705,38.0032677
23.7650585,38.0029566
23.7647667,38.0026455
23.7645795,38.0023268
23.7645332,38.0022149
23.7644657,38.0021169
23.7645239,38.0020628
23.7638422,38.0015257
23.7633992,38.0011914
23.7633692,38.0011462
23.7633396,38.0010501
23.7622427,38.0010101
23.7629205,38.0000312
23.7630082,37.9999009
23.763202,37.9995916
23.7628938,37.9994183
23.7625468,37.9992148
23.7627437,37.9989305
23.7628164,37.9987946
23.7628515,37.9987193
23.762944,37.9983867
23.7630266,37.9980509
23.7627078,37.9980424
23.7625127,37.9980217
23.7623819,37.9979935
23.7623194,37.9979629
23.7621681,37.9978297
23.7619599,37.9976305
23.7617301,37.9972957
23.761504,37.9969397
23.7613181,37.9966841
23.761276,37.9966166
23.7611715,37.9963208
23.7611133,37.9960744
23.7610368,37.9957428
23.7606245,37.9949041
23.7604323,37.9945066
23.7601329,37.9939622
23.7600061,37.9938779
23.7598518,37.9937998
23.7596266,37.9936449
23.7596461,37.9936196
23.7598715,37.9933447
23.7594177,37.9931555
23.7592927,37.9931024
23.7592344,37.9929095
23.7580799,37.9930462
23.7580458,37.9930018
23.7577733,37.9928441
23.7576767,37.9927709
23.7575833,37.9924402
23.7574936,37.9920928
23.7566988,37.9922521
23.7563186,37.9919328
23.7560335,37.9916846
23.7559859,37.991623
23.7558658,37.9912807
23.7557952,37.9910894
23.7557166,37.9909315
23.7556237,37.9909496
23.754895,37.9905768
23.7545328,37.9906152
23.7544702,37.9904056
23.7541614,37.9893726
23.7541022,37.9891726
23.7540501,37.9889968
23.7540439,37.9889758
23.7539852,37.9887773
23.7539615,37.9886975
23.7539165,37.9885455
23.7538431,37.9882977
23.7537915,37.9881298
23.7537753,37.9880773
23.7532485,37.9881831
23.7531668,37.988228
23.7530135,37.988312
23.7528021,37.9883526
23.7527902,37.9883114
23.752638,37.9883356
23.7524446,37.9883171
23.7523132,37.988279
23.751985,37.9883435
23.7519391,37.9883527
23.7519104,37.9882294
23.7517169,37.9882654
23.7516873,37.9881894
23.7516142,37.9882021
23.7504999,37.988404
23.7503569,37.987931
23.7502333,37.9875392
23.7501924,37.9874095
23.7499767,37.9874489
23.7497884,37.9874841
23.7497633,37.9874342
23.7494777,37.9873093
23.7489947,37.987066
23.748261,37.9867093
23.7479277,37.986544
23.7477606,37.9864611
23.7475174,37.9863448
23.7468254,37.9859932
23.746118,37.9856366
23.7460535,37.9855982
23.7451356,37.9851284
23.7444674,37.9847839
23.7441265,37.9846049
23.7431078,37.9840807
23.7425516,37.9837909
23.7421115,37.9835621
23.7419762,37.9834917
23.7412948,37.9828613
23.7410438,37.9825894
23.7409183,37.9824277
23.7407157,37.9821128
23.7406558,37.9820249
23.740545,37.9818342
23.7404867,37.9816546
23.7404816,37.9815956
23.7404662,37.9814351
23.7404826,37.981284
23.740524,37.9811722
23.7405853,37.9810548
23.7409383,37.9805538
23.7405331,37.9803431
23.7401095,37.9801106
23.7397101,37.9798984
23.7393161,37.9796802
23.739596,37.9793144
23.7391722,37.9790903
23.7386784,37.9788308
23.7382408,37.9786009
23.7377407,37.9783407
23.7371931,37.9780504
23.7366817,37.9777736
23.7361199,37.9774804
23.7357359,37.97728
23.7357832,37.9772258
23.7356739,37.977153
23.7356006,37.9771041
23.735569,37.977083
23.7354812,37.9771829
23.7348319,37.9768597
23.7348068,37.9768472
23.734435,37.9766622
23.7344602,37.9766098
23.7344673,37.9765445
23.7344157,37.9763324
23.7343947,37.9762898
23.734351,37.9761805
23.7342585,37.9761266
23.7342048,37.976078
23.7341564,37.9760117
23.7341089,37.975934
23.7340438,37.9757955
23.7340236,37.9757564
23.733998,37.9756885
