X,Y
23.7399801,37.945997
23.7398009,37.9467886
23.7406053,37.9471054
23.740559,37.9476272
23.740542,37.9481875
23.7405115,37.9488647
23.7405211,37.9490961
23.7399767,37.9489411
23.7398939,37.9488532
23.7395664,37.9488457
23.7392892,37.948844
23.7390748,37.9496859
23.7390534,37.9497522
23.7390368,37.9498097
23.7389415,37.9501429
23.7388221,37.950588
23.7380308,37.9503797
23.7380129,37.9504221
23.7378754,37.9507204
23.7377857,37.9509244
23.7377075,37.9511313
23.7376035,37.9513925
23.7375253,37.951597
23.7374464,37.9518216
23.7373693,37.952025
23.7372714,37.9522824
23.7372244,37.9524065
23.73708,37.9527874
23.7368907,37.9533409
23.7368721,37.9533869
23.7367234,37.9537789
23.7366273,37.9540069
23.7365591,37.9541542
23.7364252,37.9544319
23.7363831,37.9545211
23.7363297,37.9546302
23.7362759,37.954747
23.7360763,37.9551918
23.736045,37.9552592
23.7359965,37.9553646
23.7359329,37.9555005
23.735874,37.9556294
23.7357355,37.9559961
23.7356271,37.9562503
23.7354086,37.9566916
23.7357563,37.956719
23.7359295,37.9567342
23.7358391,37.9570368
23.7356703,37.9575318
23.7354973,37.957972
23.7354114,37.9579543
23.7349157,37.9592403
23.734609,37.9600098
23.7341058,37.9599057
23.7341382,37.9602301
23.7341642,37.9604807
23.7341666,37.9605972
23.7341659,37.9606994
23.7341648,37.9607495
23.734161,37.9608921
23.7341556,37.9610896
23.7341171,37.9617924
23.7341107,37.9618428
23.7340956,37.9619317
23.734082,37.9620136
23.7340609,37.9621274
23.7340335,37.9622472
23.7338708,37.9626969
23.7337177,37.9631395
23.7335582,37.9635724
23.7334612,37.9638362
23.7334311,37.9639181
23.7333765,37.9640917
23.7332775,37.9643997
23.7331092,37.9648621
23.7330033,37.9651352
23.7329719,37.965234
23.7329603,37.9652618
23.7329436,37.9653109
23.732925,37.9653619
23.7329231,37.9654995
23.7329392,37.9656644
23.7329552,37.965828
23.7329907,37.9660601
23.733024,37.9662084
23.7330718,37.9663622
23.7331519,37.9665493
23.7332967,37.966841
23.7333285,37.9669362
23.7333369,37.9670218
23.7332478,37.9670109
23.7332357,37.967077
23.7332263,37.967128
23.7332128,37.9672038
23.7331973,37.9672866
23.7331863,37.9673335
23.7332638,37.9673422
23.7332542,37.9673604
23.7332441,37.9673818
23.7332293,37.9674079
23.7332144,37.9674465
23.7331876,37.9674897
23.7331403,37.9675368
23.7330975,37.9675818
23.7329651,37.9676829
23.732848,37.9677311
23.7327131,37.967773
23.7325502,37.9678264
23.7319529,37.968014
23.7319352,37.9680192
23.7318792,37.9680373
23.7317997,37.9680695
23.7317625,37.9681005
23.7316926,37.9681624
23.7316413,37.9682189
23.731621,37.9682555
23.7316103,37.9682957
23.7315867,37.9684154
23.7315878,37.9685668
23.7315952,37.9689545
23.731611,37.9695638
23.7316119,37.9696019
23.731613,37.9696773
23.7316143,37.9700009
23.7316196,37.9700358
23.7316393,37.970124
23.7316758,37.9702235
23.7317388,37.9703092
23.7318287,37.9703715
23.7319199,37.9704265
23.7320795,37.9704847
23.7323155,37.9705481
23.7324604,37.9706105
23.7325784,37.9706845
23.7326722,37.9707648
23.7327455,37.9708363
23.7327932,37.970889
23.7328462,37.970953
23.7329582,37.9709257
23.7329591,37.9709486
23.7329706,37.970994
23.7329934,37.9710396
23.7330335,37.9710827
23.7338192,37.9719664
23.7338742,37.9720362
23.7339801,37.9721556
23.7341277,37.9723332
23.7340863,37.9723541
23.734026,37.9723853
23.7340004,37.9723581
23.7335969,37.9725807
23.7336499,37.9728237
23.7336546,37.972845
23.7336703,37.9729253
23.7336973,37.973068
23.7337332,37.9732522
23.7337647,37.9734025
23.7337768,37.9734611
23.7337905,37.9735212
23.7337975,37.9735531
23.7339458,37.974225
23.7339611,37.9742947
23.7338818,37.9743046
23.7340018,37.9749646
23.7339756,37.9750135
23.7338176,37.9750405
23.7338151,37.9750619
23.7339441,37.9750576
23.7340756,37.975054
23.7340189,37.9751765
23.734009,37.9751994
23.734001,37.9752226
23.7339921,37.975251
23.7339832,37.9752873
23.7339806,37.975304
23.7339769,37.9753354
23.7339752,37.975357
23.7339735,37.9753797
23.7339721,37.9754029
23.7339708,37.9754409
23.7339715,37.9754779
23.7339743,37.9755271
23.733998,37.9756885
